2024-08-04T16:04:13.743504 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: 
2024-08-04T16:54:15.353497 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: touch file1.txt file2.txt
2024-08-04T16:54:16.354793 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: ls -l
2024-08-04T16:54:17.356194 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: rm file1.txt
2024-08-04T16:54:18.356582 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: cd ..
2024-08-04T16:54:19.357904 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: rmdir test_directory
2024-08-04T16:59:33.298025 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: 
2024-08-04T16:59:35.299079 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: ls
2024-08-04T16:59:36.299373 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: cd Documents
2024-08-04T16:59:37.300725 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: ls
2024-08-04T16:59:38.302047 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: cat Password.txt
2024-08-04T16:59:39.304365 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: whoami
2024-08-04T16:59:40.305673 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: ping 127.0.0.1
2024-08-04T16:59:41.306011 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: ifconfig
2024-08-04T16:59:42.307334 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: netstat
2024-08-04T16:59:43.309621 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: uname -a
2024-08-04T16:59:44.309975 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: cd /
2024-08-04T16:59:45.311301 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: ls -l
2024-08-04T16:59:46.313617 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: df -h
2024-08-04T16:59:47.313939 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: ps aux
2024-08-04T16:59:48.316228 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: top -n 1
2024-08-04T16:59:49.316583 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: uptime
2024-08-04T16:59:50.317906 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: hostname
2024-08-04T16:59:51.319227 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: last
2024-08-04T16:59:52.321554 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: du -sh *
2024-08-04T16:59:53.321838 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: mkdir test_directory
2024-08-04T16:59:54.323107 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: cd test_directory
2024-08-04T16:59:55.324459 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: touch file1.txt file2.txt
2024-08-04T16:59:56.326712 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: ls -l
2024-08-04T16:59:57.328001 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: rm file1.txt
2024-08-04T16:59:58.328356 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: cd ..
2024-08-04T16:59:59.329677 - 127.0.0.1 -> 127.0.0.1 : User: CS401, Password: Password, Data: rmdir test_directory
